bin,mean_uncertainty,mean_abs_error,count
0,0.03027842752635479,0.022106770426034927,6012
1,0.03563609719276428,0.02303336001932621,6012
2,0.03956862539052963,0.02347216010093689,6012
3,0.044457171112298965,0.024177150800824165,6012
4,0.05135289952158928,0.02517618052661419,6012
5,0.05954877659678459,0.026225732639431953,6011
6,0.06850656121969223,0.028593681752681732,6011
7,0.08129792660474777,0.032670795917510986,6011
8,0.0989813357591629,0.0368829071521759,6011
9,0.3251558840274811,0.034600045531988144,6011
