model,split_type,data_split,rmse,mae,r2,pearson,spearman
rf,random,val,0.00608847887839154,0.003278733074348406,0.9664302938368379,0.9831096352792922,0.9696464076286165
rf,random,test,0.0060405750168055945,0.0032797270551527076,0.966905239703543,0.9833604623952181,0.9699117240228103
mlp,random,val,0.016202455910080592,0.010321586392819881,0.7622658014297485,0.8738475441932678,0.8224453483108394
mlp,random,test,0.016427294752696744,0.0104060685262084,0.755243182182312,0.8701333999633789,0.8237395781058016
xgb,random,val,0.009695273927240887,0.006241351366043091,0.914876401424408,0.9569185972213745,0.9182048622908503
xgb,random,test,0.009761478244012878,0.00628787511959672,0.9135761260986328,0.9563803672790527,0.9187717322241736
rf,spatial,val,0.024677358164951077,0.01596427509428154,0.43011509283170735,0.7095456397737856,0.7120685731674704
rf,spatial,test,0.019916731477606843,0.01280557054728622,-0.6549639589499021,0.35372893909770164,0.4478704247342572
mlp,spatial,val,0.02634991857375407,0.01792965456843376,0.3502469062805176,0.6314533352851868,0.6933580523968149
mlp,spatial,test,0.02104810576682964,0.01444814633578062,-0.8483253717422485,0.44183576107025146,0.4057585482291918
xgb,spatial,val,0.026140562540171806,0.017921438440680504,0.3605307340621948,0.6757141351699829,0.49101474157400476
xgb,spatial,test,0.017331969452997774,0.012150666676461697,-0.2532804012298584,0.345702588558197,0.3766512078755467
