,count,mean,std,min,25%,50%,75%,max,median,skew,missing
CFL.img,300000.0,-3.5128000112649717e-09,1.0000016666368337,-11.1829195,0.16781202,0.16781202,0.16781202,0.16781202,0.16781202,-7.400692268139983,0
FSP_Index.img,300000.0,1.945668060443495e-11,1.0000016684860684,-30.038822,0.07234921,0.07234921,0.07234921,0.07234921,0.07234921,-17.672006290757444,0
Ignition_Prob.img,300000.0,-3.9490980070884996e-09,1.0000016641143563,-18.3059,0.0964806,0.0964806,0.0964806,0.0964806,0.0964806,-12.458610814708354,0
Struct_Exp_Index.img,300000.0,1.945668060443495e-11,1.0000016684860684,-30.038822,0.07234921,0.07234921,0.07234921,0.07234921,0.07234921,-17.672006290757444,0
Fuel_Models.img,300000.0,137.33702333333332,29.09645718328707,91.0,121.0,141.0,161.0,189.0,141.0,0.31126367329440774,0
row_norm,300000.0,0.4103807407285627,0.24578329277718397,0.0015797789,0.20431806,0.38651922,0.57345974,0.9989468,0.38651922,0.5413670803606648,0
col_norm,300000.0,0.37646394775996866,0.18860016337010851,0.001588983,0.23887712,0.3315678,0.48411018,0.998411,0.3315678,0.8307144973838386,0
target,300000.0,0.02515261050615738,0.03347640726949803,2.3405966e-05,0.003817671,0.012934487500000001,0.0321705655,0.24930263,0.012934487500000001,2.5318386908729877,0
row_index,300000.0,779.3130266666667,466.7424728935211,3.0,388.0,734.0,1089.0,1897.0,734.0,0.5413670799539751,0
col_index,300000.0,710.7639333333333,356.0771082722847,3.0,451.0,626.0,914.0,1885.0,626.0,0.83071449766234,0
