split,bin,count,proportion
train,0-0.01,91999,0.44214983275020187
train,0.01-0.05,83844,0.40295666884539966
train,0.05-0.10,22264,0.10700142258448998
train,0.10-0.25,9965,0.047892075819908494
train,0.25+,0,0.0
val,0-0.01,14260,0.40601332498149306
val,0.01-0.05,17415,0.4958430613290815
val,0.05-0.10,3332,0.09486931268151017
val,0.10-0.25,115,0.003274301007915267
val,0.25+,0,0.0
test,0-0.01,26508,0.4666408477977678
test,0.01-0.05,21671,0.3814913917543921
test,0.05-0.10,5078,0.08939196563743267
test,0.10-0.25,3549,0.062475794810407353
test,0.25+,0,0.0
